ID RA DEC a b c d e f
pr1yng0047 10:05:10.16 +66:33:20.06 2000.0 23.40 I 900 1 1
pr1yng0055 10:05:06.33 +66:33:57.00 2000.0 23.39 I 900 1 1
pr1yng0077 10:05:07.01 +66:33:31.02 2000.0 23.32 I 900 1 1
pr1yng0090 10:04:57.60 +66:33:19.73 2000.0 23.59 I 900 1 1
pr1yng0122 10:04:53.99 +66:33:36.93 2000.0 23.51 I 900 1 1
pr1yng0125 10:05:04.38 +66:33:59.45 2000.0 23.54 I 900 1 1
pr1yng0137 10:04:57.36 +66:33:49.56 2000.0 23.62 I 900 1 1
pr1yng0138 10:05:03.17 +66:34:03.54 2000.0 23.66 I 900 1 1
pr1yng0152 10:05:06.31 +66:33:13.11 2000.0 23.60 I 900 1 1
pr1yng0182 10:05:08.22 +66:33:53.38 2000.0 23.81 I 900 1 1
pr1yng0197 10:05:09.36 +66:34:16.39 2000.0 23.85 I 900 1 1
pr1yng0217 10:05:28.38 +66:33:05.45 2000.0 23.88 I 900 1 1
pr1yng0231 10:05:09.41 +66:33:23.30 2000.0 23.85 I 900 1 1
pr1yng0237 10:05:11.77 +66:33:04.79 2000.0 23.60 I 900 1 1
pr1yng0243 10:05:00.11 +66:33:06.33 2000.0 23.81 I 900 1 1
pr10125 10:04:50.61 +66:33:35.41 2000.0 23.98 I 450 1 1
pr10188 10:05:14.15 +66:32:14.42 2000.0 24.08 I 450 1 1
pr10249 10:04:55.54 +66:33:42.03 2000.0 24.10 I 450 1 1
pr10283 10:05:17.84 +66:33:24.65 2000.0 24.11 I 450 1 1
pr10351 10:05:17.79 +66:34:25.37 2000.0 24.17 I 450 1 1
pr10392 10:05:10.62 +66:33:14.87 2000.0 24.15 I 450 1 1
pr10400 10:04:51.72 +66:33:29.84 2000.0 24.16 I 450 1 1
pr10474 10:05:16.97 +66:32:53.72 2000.0 24.18 I 450 1 1
pr10498 10:05:26.63 +66:33:00.78 2000.0 24.20 I 450 1 1
pr10545 10:05:06.01 +66:34:03.51 2000.0 24.17 I 450 1 1
pr10595 10:05:29.20 +66:32:32.22 2000.0 24.17 I 450 1 1
pr10638 10:05:34.37 +66:33:02.26 2000.0 24.27 I 450 1 1
pr10657 10:05:20.41 +66:32:44.82 2000.0 24.24 I 450 1 1
pr10696 10:05:14.09 +66:33:17.37 2000.0 24.27 I 450 1 1
pr20145 10:05:30.70 +66:32:56.06 2000.0 24.43 I 200 1 1
pr20197 10:05:11.28 +66:33:10.42 2000.0 24.32 I 200 1 1
pr20216 10:04:56.50 +66:33:20.17 2000.0 24.38 I 200 1 1
pr20293 10:05:12.78 +66:32:53.86 2000.0 24.40 I 200 1 1
pr20389 10:05:20.09 +66:33:02.84 2000.0 24.47 I 200 1 1
pr20422 10:05:25.61 +66:33:10.91 2000.0 24.47 I 200 1 1
pr20432 10:05:32.60 +66:33:22.29 2000.0 24.54 I 200 1 1
pr20529 10:05:29.10 +66:33:47.88 2000.0 24.54 I 200 1 1
pr30200 10:05:22.80 +66:32:34.17 2000.0 24.69 I 70 1 1
pr30347 10:04:59.85 +66:34:03.87 2000.0 24.71 I 70 1 1
pr30396 10:05:23.72 +66:33:28.16 2000.0 24.81 I 70 1 1
pr30637 10:05:12.15 +66:32:26.83 2000.0 24.83 I 70 1 1
pr30668 10:04:59.24 +66:33:50.41 2000.0 24.83 I 70 1 1
pr30749 10:05:15.68 +66:32:51.41 2000.0 24.87 I 70 1 1
pr30757 10:05:06.31 +66:33:02.79 2000.0 24.86 I 70 1 1
pr30807 10:05:26.43 +66:33:32.42 2000.0 24.88 I 70 1 1
pr30841 10:05:31.63 +66:33:23.52 2000.0 24.94 I 70 1 1
pr30844 10:05:18.90 +66:33:44.26 2000.0 24.94 I 70 1 1
